overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,style,image
1.0,True,"09 29, 2015",A32IDF7JFAPXAG,B00WZWPOZM,Joshua Glowzinski,"While looking on Amazon today, I saw bad review for this.  But, I decided to try it anyway.  I started playing.  Awful.  Honestly, one of the worst games I have played.  Here is why.

The graphics, while dated, are fine to me.  The problems are, firstly, the controls.  Never once do I feel like I have control over my player.  I keep hitting X to kick the make my board move.  Nothing.  Then, I do tricks.  So, things go fine at first.  Then, you will think you are even for a landing and fall.  The falling is hilarious.  It is like a rag doll being thrown.

Then, the people skating around are annoying.  I got hit a few times as well as hitting others.  You just skate around, with awful controls.

The missions.  Well, there seem to be none.  You see little icons.  You go to one and it has things you can do.  I thought it would be fun.  It is not.  The controls make it so hard to do.

There is not talking in the game.  I have played for, maybe 30 minutes and there is nobody saying anything.

I had been so excited for this game.  There is nothing fun about this at all.  No action.  No dialog.  No controls or so it feels.  It feels like an early demo.  How in the HELL this thing can cost $59 is beyond me.  $5.99 is what I would think it is worth.  For those who made the game, I wanted to like it.  The fact that you didn't give any early copies out for review should tell everyone something.

One of the worst, more boring games I have played.  I am sending this back for a refund.  I listed it as defective.  I did so because I cannot control anything.  The physics are all screwy and it is not worth anything.  It seems very obvious that the team that made this, put very little time and money into.

I want a game that you start and you are given tasks to do.  Let other skaters give you them.  It is hard to say that this is a bad game, for the fact that at no point in the time I watched a figure flop around, did this EVER feel like a game.  Complete rip off.",Not at all worth the price.  A floppy figure moves around and hits walls.  That is what your getting.,1443484800,6,{'Format:': ' Video Game'},
1.0,True,"08 25, 2015",A1AJ0TUKV5YXNQ,B001MIZNGU,Bethany Vance,Didn't care for,One Star,1440460800,,,
1.0,True,"09 19, 2014",ACZREPNVT28WO,B0050SZDPE,Tony D.,"I wanted to use this with my Raspberry Pi, but it doesn't have drivers for Linux. wtf.",One Star,1411084800,,,
1.0,False,"05 3, 2007",A2CX2NXWUR7OMM,B000EEDY6O,A Normal Guy,"This game looked good.  Some of the reviews were great.  I was hyped about the game, the premise, and what it promised to offer.  However, I could NOT get the thing to run!!!

I'm very computer proficient and play a TON of computer games, so troubleshooting is not something that really phases me.  Let me just say that I have NEVER had the experience of 1) not being able to get a game to run or 2) having as many problems with tech support as I did with aspyr.

Here's my experience...

--I've loaded the game on 4 different computers with no success (one of them a brand new Alienware computer).

--I've even tried completely re-installing windows XP, and still the game would not run on a ""clean"" system.

--Initially tech support said they couldn't help me and pawned me off to their licensing company...who said that they don't do tech support and said I needed to talk with Aspyr.

--Aspyr said that I should just patch the product and it would work fine.  When I said I already did that (under multiple tries), they said to try it again.... *Sigh*

--I've read on some boards that XP service pack 2 can mess up the game.  I suggested that to support but they flat out denied it.  I then installed XP (with SP2) onto a formatted computer...and again the game would not run.

All in all, I SERIOUSLY doubt I would try another one of their games.  Even if it worked, their support stinks to high heaven.

Stay away.  Stay faaaaaar away.","A definite ""Do NOT buy"" if there ever was one...",1178150400,8,,
1.0,False,"11 11, 2014",AGPM6OHI7R3M4,B00J48C36S,Joshua Miller,"Bottom line, not only does AC Unity not advance the series forward, it makes a few totally unacceptable choices that should have never been added. Assassins Creed Unity is by no means a revolutionary step for the game, rather just the 2014 iteration of this annual title. I got Assassin's Creed Unity in my bundled XBOX One purchase, so basically I got it for free with the console, which you can't beat price-wise. I'm not quite sure how this is any different than AC 1, 2, or 3. Sure the graphics are better, the geography is different, and some game mechanics have been improved, but virtually you are just doing the same thing over and over just as in most AC games. In my personal opinion, Unity takes a several steps backward from AC Black Flag. Every AC game can't have ships, I get it, but that was such a great new feature to lose it hurts and feels like something needs to step into the breech, which nothing does. Unity is a return to the pre-Black Flag games. You're in a major historical city assassinating people. The color scale is back to a more bleak look, with pales and greys versus the blues and greens of AC Black Flag. Other than the sheer grandeur of the city, AC Unity lacks that big ""wow"" factor to really make it something special that changes the franchise. As a big fan of the franchise, I can't say this game stands out amongst the rest, rather is just the next game in long series of titles.

POSITIVES
+ Controlled Descent: Being able to actual move downward at a fast pace is refreshing when the previous options were going down slowly or just jumping off to your death.

NEGATIVES
- Micropays: This is by far and away the most deadly sin this game has committed. Want to open a certain chest? Sorry, you need to download an app for that. Want to get some loot? Sorry, you need to register with Ubisoft. Want more cool features? Sorry, you'll have to give us more money. For heaven sakes, I just bought this game and you already want more; this is beyond unacceptable.
- Loading Screens: When I heard about ACU on next gen systems, all I heard was about that their was no loading screens; well whoever said that must have been delusional. I've had non-stop loading screens since I started playing. If anything the game is moving slower than any other AC game I've played.
- Boring Story: Their is just no ""wow"" moment to be had. It reads like something so manufactured because they needed an idea to get out a game in Fall 2014, not because it was actually something smart.
- Doesn't capitalize on being a 'franchise': One of the great things about being almost 10 games deep into a franchise is that they can build on one another. AC II built on the original to not make it as repetitive. Brotherhood brought in other assassins, and Black Flag added ships as a major element. All of these things advance the game, but Unity goes in the opposite direction.
- Big doesn't equal better: They've touted this as the biggest game they've ever done yada yada yada. Yes, the land mass is big, but it is also boring and blends together. Nothing about this land gets me excited. In Black Flag you had to travel to each island and explore where here you are just moving through a bigger land to collect the same useless collectables as always.","One Step Forward, Five Steps Back",1415664000,23,{'Format:': ' Video Game'},
1.0,False,"01 8, 2017",A17XI40RT52PFX,B00UO4NL9Y,Matt,I got this game and have yet to be able to play it as square will not let me log into my account. So mad that's all i can say.,I got this game and have yet to be able ...,1483833600,,"{'Edition:': ' FINAL FANTASY XIV Online', 'Platform:': ' PC'}",
1.0,True,"01 27, 2018",A1BKNMNAF7PTF8,B0188JBLBG,Alex Masters,Did not come with game and the figure foot was broken this was a bad product,this did not come with the game,1517011200,,,
1.0,False,"12 3, 2008",A1IHX3IQ3BD6WA,B000X25GX6,M. Webber,what the hell? i thought this game would be like rainbow 6 or something but jeez man this is terrible all you do is bark out orders and watch the comp play... awful man i cant believe it,terrible,1228262400,,{'Platform:': ' Xbox 360'},
1.0,True,"08 17, 2016",AQ7GV32CQZ475,B018QQGYJ0,Mewzhik,"DO NOT BUY THIS CHEAP CRAP! THE SCROLL WHEEL BREAKS DOWN AFTER THE 30 DAY PURCHASE, IT GETS STUCK YOU CAN'T EVEN USE IT.",ZERO STARS. SH*T PRODUCT,1471392000,,{'Color:': ' White'},
1.0,False,"03 17, 2006",A2WRDXYHN40GX,B000B6ML0U,Joshua Pearl,"Seriously, this game on any system, not just the 360, is not fun to control and there's no feeling of accomplishment when you pass each mission.  The feel of the character during movement and shooting is inexcusably remedial, very slow, very tedious to aim, and like others said it takes far to much effort to drop 1 guy.

The game reminds me of a poor man's Red Faction 2 for XBOX with noticeably better graphics, but as far as 360 goes, the other 6 games I currently own surpass PDZ in the graphics department.

So the reason for my title is that for those who game this game 5 stars...where exactly are you standards?  I can think of at least a dozen shooters off the top of my head for the regular XBOX that I'd rather be playing than PDZ, and Doom 3 in my opinion has better grahpics than this game.  Halo, Halo 2, Doom 3, Project Snowblind, Mace Griffin...the list goes on and on, and obviously Quake 4 and COD 2 for the 360 trump this game.

Do yourself a favor, even if you love spy-type storylines and you're in need of a shooter, rent it first and you'll see what I mean.  It's maybe worth 10 bucks when the price comes down, but definitely not worth 40-50, and most definitely not a launch console seller.

I know everyone has their own opinion, but giving this game 5 stars, even if your basing it on the so-called innovation this game brings (which it doesn't), you skew the standard of a shooter so far in the wrong direction it baffles me.",I can't understand some gamers,1142553600,16,"{'Edition:': ' Standard', 'Platform:': ' Xbox 360'}",
1.0,True,"01 1, 2018",A1AQV9U4HSHCZU,B00CIBCTLC,Christopher Nixon,Buy civ 5 or 6,One Star,1514764800,,,
1.0,True,"02 27, 2011",AIRF2MWJZOGN3,B001BJ690E,SportingBlue,"Shooters such as these were once the heart of the arcade industry, so it's unfortunate today that they're relegated to niche or nostalgic status. Ultimate Shooting Collection is unlikely to change that. I've played or owned most of the bullet hell shooters over the years, and this is one of the most underwhelming collections I can remember. Karous and Radirgy are strictly par for the course, offering nothing new or distinctive to the genre. Chaos Field was previously seen on the Gamecube and has aged very poorly. The graphics are awful even for a shooter, and since it's a ""boss rush"" game, you don't feel as if there's a lot to do.

This collection at least scores high on value; these games would cost many more times this if bought separately. If you simply must have every shooter ever made, by all means have a go. If you've played Galaga, R-Type, or the Raiden games, you've played better.",Skip this.,1298764800,3,,
1.0,False,"04 5, 2006",AUA12MDGAMIN3,B0009PM8V0,Mr. A. O&#039;rourke,"Sonic The Hedgehog was a big favourite of mine back in the 16 bit day's, but since the move to 3D the series has taken a serious nose dive. First we had the flawed bug ridden mess that was Sonic Adventure on Dreamcast, then we got the sligthly impproved 2nd Adventure game which appeared to have suffered from dodgy camera sindrome. You would think after all that things would start to improve, well you are in for a big supprise because they actually manage to get worst with Sonic Heroes. That game suffered from appalling controls, a horrible camera and terrible new characters. And now we come to Shadow The Hedgehog, a game so awfull you'll find yourself crying at what Sonic Team has done to this once great series of games. A Sonic character with a gun is not something i want to see and im sure the same goes for every other true fan of the blue hedgehog. Shadow is an appalling mess, horrible controls, dull un-sonic like graphics and a sad attempt to make Sonic mature by giving the lead character a weapon. Do yourself a favour and avoid this dross.",The Mega Drive must be spinning in it's grave,1144195200,4,{'Platform:': ' GameCube'},
1.0,False,"03 4, 2009",A2HWE5YOLVLICD,B000R2WI0G,NetGod,"I own 70 video/computer games. Of those that I do own, this game is one of the very few that will not even run on my computer, (and I own a very powerful computer). When on those rare occasions I did manage to get the game to run, it ran VERY SLOWLY, and eventually crashed. I'm very disappointed that companies are allowed to bring trash like this to market, because that exactly where my copy will end up . . . . 'in the trash'.",Game won't run,1236124800,2,{'Platform:': ' PC'},
1.0,True,"03 16, 2011",A3VXC1FJCJ14DY,B0013HE5UU,davidsch,dont buy the controller scheme is all wrong hard to play ill explain you have to win games to buy tickets got it so far the only problem is that you don't get enough tickets i don't maybe you will like it but i give it two thumbs down,wonder world,1300233600,,,
1.0,False,"01 9, 2005",AJTYN2L8T5FER,B00009WNZA,Thomas W P Slatin,"This game does not work despite the patches and tech support.  It will always crash at random times during game play.  Also, if you do get it to work, it is so slow that you decide that you don't really want to play anymore.  I'd give it a higher rating if it actually worked.",Doesn't Work -- Always Crashes,1105228800,6,{'Format:': ' Video Game'},
1.0,False,"04 18, 2007",A38T1JFRUIG19W,B0002XIX0E,BosworthINC,"I was looking for a decent pair of headphones to use for a program called TeamSpeak. My outfit on a game called Planetside uses it to do faster communication. After comparing prices, this was the cheapest and, because of the trusted name of Logitech on the side, I thought I could trust these headphones were of decent quality.

Wrong, goes to show me once again, ALWAYS READ THE REVIEWS! My troubles started when people couldn't hear me unless I shouted to the heavens even after I had the settings on the highest they could go to boast performance. Next was the horrible design. After 30 minutes my ears started to hurt because there was no support for the headphones, which pulled and pinched my ears. The sound quality is fine, but unless I held the mic close to my face, it wouldn't pick up, which is impractical to gamers.

I plan on returning these less then 24 hours of purchasing them and to buy something decent that I reviewed this time. What a waste of money.",You get what you pay for.,1176854400,,,
1.0,True,"06 24, 2015",A2DSZF3OWPPJC3,B00IQCRKQ6,Mp3masta,I told myself never again pre order a game. I just couldn't help myself. ...I love Batman but now I learned my lesson the hard way. Bought the disc version I installed disc now I'm downloading another 30gbs. Still have yet to play.,I love Batman but now I learned my lesson the hard ...,1435104000,3,{'Format:': ' Video Game'},
1.0,True,"01 22, 2015",A318Q8EKXBFFY8,B0076HD2W8,jeremym,"I don't know if they have a quality control issue or what, but mine doesn't work at all even after all the driver fiddling.  I threw it out and ordered the Microsoft-branded one for seven dollars more, which is what I should have done in the first place.",I don't know if they have a quality control issue ...,1421884800,,"{'Color:': ' Black', 'Style:': ' Wireless Receiver'}",
1.0,True,"12 16, 2011",A13SYXGW66OQH7,B00168PFFK,GBrunson12,"It left Bubbles all over the screen. I spent more then an hour to try and get them out and couldn't.  I tryed all 3 screens and they all suck.  My protction Screen for My Kindel is great, it was easy to put on. This item is crap!",No Good,1323993600,,,
1.0,True,"10 22, 2015",A1JK4OC61ZLME3,B00HHIPQ98,wingflyer,"This is an rpg that tried but couldn't live up to it and if I could give a (zero) I would have. What a waste and highly disappointed again for spending all that money on guides and the game.

There is enough of power leveling and other things in an rpg and I'm wondering why the overly complicated and confusing customization of equipment, weapons, etc. (so I just gave up and just decided to buy my weapons and equipment); also if a party member is not there only two can participate in battle (and I wondered if this was for the whole game) and I discovered this was many time in the game; plus there are some glitches (like selling an item and can never ever get into the dungeon where needed to open a door and could not get beyond that point and starting the game over).

On another note, which I discovered later and never even thought about because I always thought standard rpgs had HP, MP, etc. and then I discover SC and only a 100 points but in battle there is no indication of how much you are using, whether you run out and I was flabbergasted and just wondered who made this mess up.  I WANT A STANDARD RPG AND DO NOT WANT TO GUESS WHETHER I'M ABOUT TO DIE IN BATTLE WHICH I DID MANY TIMES AND THOUGH I WAS AT HIGHER LEVEL THAN THE BOSS IN QUESTION AND THIS JUST DIDN'T MAKE SENSE AND FRUSTRATED AND HAD TO TRY OVER AND JUST GOT MAD AT THE DEVELOPERS ON THIS GAME.  This happened a couple of times where I was many levels above a boss and hard as heck defeating them (on the side quests).

And even in battle a majority of the time Rose and party just died and fought battles myself and not bothered (I do not like a divided party like this).  The battle system in Tales of Graces much better and at least I knew where I stood in battle and had a full party and I could use the items normally, and in this game, which many times failed and also using mystic arts failed miserly.

And getting through the many areas and dungeons have been just pure nonsense on the camera angles that get you all turned around and then finding which way to go and also fighting any enemies while doing this is even worse and all I can say is that some of the dungeons (especially the trial ones were very generic and all seemed similar) and why so few treasures in the very long dungeons.

If they make any other games like this I'm not buying any more if they cannot make an rpg where there is normal HP and MP without getting them elsewhere (like in this game from fighting all the major hellions in the game just to get your HP up and levels meant nothing).  Guess we will have to wait and see if they can make an rpg where we can level up normally (instead of grids, ords, etc. to acquire HP as in this one.

I have played over 100 rpgs since the NES days so don't think me a beginner. Have just decided to give up on the game entirely and just consider it a waste of money (book and game given to charity).

UPDATED:  On and I forgot to mention the vast and wide open map areas that have little items on them and/or going back to areas for a lonely one or two treasures because of not having a key???.  The game really has too much in it to simply get skills (Dormins to find and also getting enough points for other skills and skills obtained from weapons, armor, etc. and fusion) (SO MANY HORRIBLE LONG DUNGEONS AND AREAS THAT HAD VERY LITTLE MEANING TO GET THROUGH AND ALSO ANOTHER HORRIBLE LAST AREA, WHICH WAS EVEN WORSE, NEED I SAY A ZILLIA 2. - both of these games I never finished or even bothered to ever play again.)  Really think that some people just gave this game a high rating or there may be some fake reviews here.",This game blew big time,1445472000,7,{'Color:': ' Playstation 3'},
1.0,False,"04 6, 2009",AQUVTQFFXP4AC,B00005V9Q1,Aiex Halo,"So I mark Warcraft III as the point where the franchise stopped being WARcraft, and became MAGEcraft, or Magiccraft, or some stupid snippy pun regarding a favor towards magic rather than war.

And don't worry, this negative review isn't all just about the visceral hatred of high fantasy involving lots of magic.  The game itself has plenty of bad flaws.

I used to love Warcraft. But I hate Warcraft since they made it ""Blizzard presents: Magic: The Gathering"".

My favorite thing about Warcraft was exactly what they took out in III and World of: a sense of grittiness and uniqueness in a world of fantasy. There were no ""Thyalawynd"" or ""Darkheart""s or ""Ebonheart""s or ""Gyilwind""s magic fantasy crap with gravity-defying robes and swords made of silver and no shields or any semblence of tactics or strategy or even blood.

There was no ""We ah the Knoights of Lothar the Guilywind, son of Gunther the Loinhearted, son of Baxter the Baxton, son of Aragorn of Aragorn, and we foight fo peeeeeace"" versus ""Graarrgh we are demon spawns from hell who want to crush the world and kill everything that moves"".

Warcraft wasn't like that at all---Warcraft had the Orcs coming into Azeroth because their own world was destroyed by civil war, and rather than accomodate, the Humans responded with war. And it blew up in their faces as the Orcs destroyed Stormwind Keep and forced the humans into Lothleroin, with the Orcs following. I don't remember what happened after that, but I think eventually the Orcs were beaten back by the Alliance of Humans and Elves.

Then I completely do not remember a single thing about Warcraft III other than Taurens supporting the Orcs for absolutely no reason, and the Undead randomly appearing out of nowhere for no reason, and Night Elves appearing out of nowhere for no reason, and lots of pixie dust sprinkle winds magic and demons and wizards and keys and powerups and upgrades and magical fire pansy moves of doom for make benefit glorious magician of kingdom of Godwynn EverNeverwind P. Dark-Ebonheart.

Warcraft and Warcraft II were to me, the modern Medieval-fantasy equivalent of Conan the Barbarian, in that yes, magic was there, and magic was used, but only the magicians practiced magic, and the magicians could not stand up to an army of a billion Orc Grunts and Troll Axethrowers.  Sure, then there came Ogre-Mages, Death Knights, Paladins, and the like, but even those were but a small asset in an army made to fight with steel and wood and flesh, not just magic.

Instead in Warcraft III, and extending into World of Warcraft, magic becomes the centerpoint of virtually any army.  You can still use the backbone of infantry and cavalry and the like, but their effectiveness against magical heroes and magical elves and pixies is reduced by the sudden jump in population everything costs and the stupid upkeep.

But while magic would become the more central point beyond Warcraft III, War3's focus instead came upon HEROES!

The entire RTS aspect of this game is not fully broken, but rather fractured by not just the inclusion, but the heavy reliance upon individual heroes, who have dozens of hero-only chests to pick up for upgrades and equipment that can make them MORE powerful, and they have the ability to LEVEL UP and research MORE abilities and powers.

At least half the missions in the campaign I was apart of either involved playing ONLY as heroes, or playing in such a mission that only heroes could determine the outcome of battles.

Then, UPKEEP.

The idea of upkeep in this game is in no way relevant to how upkeep really works in games like Total War or in real life.  Upkeep is the cost of maintaining an army.  Upkeep does not exist in traditional RTS games.

In this game, upkeep means ""you no longer mine as many resources"" when you have too many units.  And ""too many"" ranges from 50-75 population points taken up.

And then comes the fact that full-army battles are rendered impossible when the average Orc Grunt starts costing THREE population points, and the maximum population is no longer the Blizzard standard of 200, but somewhere near 125-175 or so.

Controlling the first level of upkeep means your peasants now gather 7 of a resource rather than ten.  Medium upkeep reduces it to 5.  High upkeep reduces it to 3.  And an army under high upkeep can consist of a handful of heavy units not fit to take out a militia force twice their size.

This is only balanced by the fact that it affects all player on a map.  But another problem involving this is that because the basic units take up so much population and are so ineffective, the player is basically forced into an arm's race with their opponents, to build up their base technologies, upgrade all they can, then build the most powerful units available while ignoring the 90% of other units available to train, just to meet an evenly matched opponent who has done the same thing.

And then again, the RTS idea is fractured and shattered by the powerful emphasis on building superunits and superweapons as quickly as possible, and to hell with all other available units.

This is not how a good RTS works.  Starcraft comes to mind: an army of 30 basic Terran Marines can slaughter an enemy army of Hydralisks or Ultralisks.  An army of 30 Battlecruisers seems unstoppable, and yet can easily be torn asunder by a few Corsairs or Valkyries, or a flood of Scourges.  Or they can be broken up from all-out attack from an Arbiter's stasis, or a Ghost's lockdown.  They can suffer huge splash damage from Psionic Storms from High Templar or Infested Kerrigan.

In short, in Starcraft, every unit is effective if utilized properly.  You can win one game by playing a megalomaniac and massing dozens of super units, and win another game in the same amount of time with a ragtag militia and some special tricks of infiltration and the like.

Warcraft III has none of it.  Every unit that is not a superunit or a hero is simply cannon fodder and/or base defense until that superunit or hero is available for building.

And so what was once ""WARcraft"" and I so deridingly called ""Magecraft"" could more accurately be called ""Herocraft"", because heroes are so ridiculously overpowered that they become the center point of every game, EVEN the skirmishes, as you cannot start unless you pick a hero for your side.  AND you can get MORE THAN ONE hero on a map, one for heavy combat, one for support, and one for magic.",Where it stopped being Warcraft,1238976000,6,,
1.0,True,"08 28, 2014",APZOXDBMQ56XQ,B005VBVQDI,Antonio,not great!,One Star,1409184000,,{'Format:': ' Video Game'},
1.0,False,"07 28, 2013",A3USXOS3Y3VZDN,B000GAC4VC,Mark von Briesen,I got this game when I was younger and it kept kicking back to windows main screen because it wasn't installed right even though I did everything that needed to be done. DON'T BUY THIS!!!!,Not worth it!!,1374969600,,{'Platform:': ' PC Download'},
1.0,False,"10 25, 2009",A3GLJM6FQREL3Y,B002BCVFRM,Enrique A. Leon,"FIFA IS ONLY JERSEYS!!, LICENCEDS!!  BALLS AN SHOES!! BUT THE GAMEPLAY IS GARBAGE!! THE PRO EVOLUTION SOCCER 2010 IS 10 TIMES BETTER!!!BECAUSE LOOKS MORE REAL!! THE FACES,SKILLS AND FIFA THE PLAYERS LOOKS LIKE GRAPHIC PSONE!!! PLEASE DONT DONT BUY THIS GAME!!",FIFA SUCKS!!!!!!!!!!!!!!!,1256428800,4,{'Platform:': ' PlayStation 3'},
